wall_epoch_seconds	elapsed_seconds	user_time_ns	system_time_ns	interval_cpu_percent	package_idle_wakeups	interrupt_wakeups	resident_bytes	physical_footprint_bytes	peak_footprint_bytes	thread_count	fd_count	socket_count	energy_nanojoules
1784604648	0	452793416	152604208	0	0	19	64667648	21808016	21824400	14	12	1	1999539499
1784604651	3	453756708	153175291	0.051146	0	25	64290816	21463952	21824400	5	12	1	2002457613
1784604653	5	454604708	153494125	0.058342	0	28	64290816	21463952	21824400	5	12	1	2005193486
1784604655	7	455685208	153956875	0.077162	0	31	64290816	21463952	21824400	5	12	1	2007742516
1784604657	9	456474875	154451333	0.064206	0	34	62275584	21250960	21824400	5	12	1	2010445001
1784604659	11	457324333	154806500	0.060231	0	38	51757056	21250960	21824400	5	12	1	2013362288
1784604662	14	460489250	157371125	0.190985	0	42	47480832	21250960	21824400	5	12	1	2020843078
1784604664	16	460707333	157583708	0.021533	1	44	47497216	21250960	21824400	5	12	1	2021618390
1784604666	18	462862250	158877750	0.172448	1	48	47562752	21234576	21824400	5	12	1	2029908347
1784604668	20	463636083	159411666	0.065387	1	50	46448640	21234576	21824400	5	12	1	2033067174
1784604670	22	464782125	160576041	0.115521	1	52	46432256	21234576	21824400	5	12	1	2037422757
1784604672	24	465564333	161087208	0.064669	1	54	46481408	21234576	21824400	5	12	1	2040637333
1784604674	26	466446625	161562875	0.067898	1	56	46694400	21234576	21824400	5	12	1	2044342716
1784604676	28	467566208	162577750	0.106723	1	59	47628288	21283728	21824400	5	12	1	2047933807
1784604678	30	468744000	163610958	0.110550	1	62	47824896	21283728	21824400	5	12	1	2053863793
